,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,4.923872848507793,4.146508976642454,5.478449977649071
2020,5.87760141133354,5.00282788870484,6.650304044296637
2025,5.3960846926119235,4.658269102279462,6.165120547121473
2030,5.061289452686338,4.151444882119032,5.8360371939842635
2035,5.213206196619019,4.799119948470821,6.452766228208551
2040,5.328575688403563,4.174961491868343,6.314870507505289
2045,4.839656487920125,4.08920828600883,5.549378178121032
2050,5.066812360639758,4.181887416440111,5.593060217856321
2055,5.582052979928203,5.349448987799487,6.06398035627279
2060,4.71986438239595,4.409067605089069,4.987839543560147
2065,4.92620606201522,4.059502373222814,5.574584494566765
2070,4.8330928637003225,4.035709747469366,5.708561384902428
2075,4.740458537007747,4.25362484613755,6.028526770340401
2080,4.7107353341170555,3.4652343352185935,5.496896238857974
2085,4.617511126304595,3.826566968263187,5.027083764674367
2090,4.549739386085278,3.8095858401983462,5.290056788300156
2095,3.9262299839501873,1.8781930462838332,5.320003717246935
