,dm_t_prime,dm_t_prime,dm_t_prime
,mean,min,max
decade,,,
2015,-0.049444788961838945,-0.48134678536586684,0.44303640944539124
2020,-0.05527151394713732,-0.8940695108887662,0.728788653517907
2025,-0.17050813436701945,-0.7452056390245114,0.2520501383409958
2030,-0.19962041405308165,-0.8077494402005199,0.5109231694900762
2035,0.008272550518763366,-0.8784772999943178,0.4788493969616537
2040,0.16015610584005904,-0.6666348648863644,1.2188205010375606
2045,-0.13969181217363694,-0.5905336574351041,0.3323291018167344
2050,0.3116032019374796,-0.40037221824949926,0.6108068299810115
2055,-0.1253897418819009,-0.4719379816835643,0.2594936412508051
2060,0.11823577570164416,-0.5782693871511962,0.9521256627529701
2065,0.12803896466963136,-0.2449223965671932,0.6091901562952344
2070,0.21094591110950103,-0.07691904188720253,0.6123742175538153
2075,0.5231973434077435,0.36306559957081075,0.7140040024253854
2080,0.048173135628281585,-1.0434706718726772,0.6969558872914082
2085,0.2041682347971078,-0.223540809721322,0.6223563179029236
2090,0.35921402533831925,-0.11062863873305279,0.6616036704260191
2095,0.3582869301127619,-0.20798001039827996,0.9658773532725952
